Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 16:37:40

Name:	stress strain poly
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
16:28:56.3	1.1969	0.8453	3.9896	45.0828	1.0000
16:28:57.3	1.2213	0.8633	4.0710	46.0420	1.0000
16:28:58.3	1.2335	0.8813	4.1117	47.0012	1.0000
16:28:59.3	1.2579	0.8933	4.1931	47.6407	1.0000
16:29:00.3	1.2824	0.8933	4.2745	47.6407	1.0000
16:29:01.3	1.2946	0.8933	4.3153	47.6407	1.0000
16:29:02.3	1.3068	0.9053	4.3560	48.2802	1.0000
16:29:03.3	1.3190	0.9172	4.3967	48.9196	1.0000
16:29:04.3	1.3434	0.9232	4.4781	49.2394	1.0000
16:29:05.3	1.3434	0.9352	4.4781	49.8788	1.0000
16:29:06.3	1.3679	0.9232	4.5595	49.2394	1.0000
16:29:07.3	1.3923	0.9412	4.6409	50.1986	1.0000
16:29:08.3	1.3923	0.9412	4.6409	50.1986	1.0000
16:29:09.3	1.4167	0.9472	4.7224	50.5183	1.0000
16:29:10.3	1.4167	0.9652	4.7224	51.4775	1.0000
16:29:11.3	1.4289	0.9772	4.7631	52.1170	1.0000
16:29:12.3	1.4411	0.9892	4.8038	52.7565	1.0000
16:29:13.3	1.4778	0.9832	4.9259	52.4367	1.0000
16:29:14.3	1.4900	0.9952	4.9666	53.0762	1.0000
16:29:15.3	1.5144	1.0012	5.0480	53.3959	1.0000
16:29:16.3	1.5144	1.0072	5.0480	53.7157	1.0000
16:29:17.3	1.5266	1.0072	5.0887	53.7157	1.0000
16:29:18.3	1.5511	1.0252	5.1702	54.6749	1.0000
16:29:19.3	1.5755	1.0252	5.2516	54.6749	1.0000
16:29:20.3	1.5877	1.0371	5.2923	55.3144	1.0000
16:29:21.3	1.6121	1.0611	5.3737	56.5933	1.0000
16:29:22.3	1.6365	1.0491	5.4551	55.9538	1.0000
16:29:23.3	1.6365	1.0671	5.4551	56.9130	1.0000
16:29:24.3	1.6488	1.0611	5.4958	56.5933	1.0000
16:29:25.3	1.6610	1.0731	5.5366	57.2328	1.0000
16:29:26.3	1.6732	1.0791	5.5773	57.5525	1.0000
16:29:27.3	1.6976	1.0851	5.6587	57.8723	1.0000
16:29:28.3	1.7098	1.0851	5.6994	57.8723	1.0000
16:29:29.3	1.7220	1.0911	5.7401	58.1920	1.0000
16:29:30.3	1.7220	1.0971	5.7401	58.5117	1.0000
16:29:31.3	1.7465	1.0911	5.8215	58.1920	1.0000
16:29:32.3	1.7465	1.1031	5.8215	58.8315	1.0000
16:29:33.3	1.7709	1.1091	5.9029	59.1512	1.0000
16:29:34.3	1.7831	1.1211	5.9437	59.7907	1.0000
16:29:35.3	1.7953	1.1271	5.9844	60.1104	1.0000
16:31:55.2	1.8075	0.4976	6.0251	26.5381	1.0000
16:31:56.2	1.8075	0.5096	6.0251	27.1776	1.0000
16:31:57.2	1.8075	0.5036	6.0251	26.8578	1.0000
16:31:58.2	1.8075	0.5695	6.0251	30.3749	1.0000
16:29:36.3	1.8197	1.1331	6.0658	60.4301	1.0000
16:29:37.3	1.8319	1.1451	6.1065	61.0696	1.0000
16:31:54.2	1.8319	0.5036	6.1065	26.8578	1.0000
16:31:59.2	1.8319	0.6894	6.1065	36.7697	1.0000
16:29:38.3	1.8442	1.1391	6.1472	60.7499	1.0000
16:31:53.2	1.8442	0.5156	6.1472	27.4973	1.0000
16:31:52.2	1.8564	0.5276	6.1879	28.1368	1.0000
16:29:39.3	1.8686	1.1391	6.2286	60.7499	1.0000
16:32:00.2	1.8686	0.7494	6.2286	39.9670	1.0000
16:29:40.3	1.8808	1.1570	6.2693	61.7091	1.0000
16:31:51.2	1.8808	0.5336	6.2693	28.4565	1.0000
